FORM_PLAN_YEAR_BEGIN_DATE,PLAN_NAME,SPONSOR_DFE_NAME,SPONS_DFE_MAIL_US_STATE,SPONS_DFE_EIN,TOT_ACT_PARTCP_BOY_CNT,TYPE_WELFARE_BNFT_CODE
2025-01-01,Aurora Market Health Plan,THE AURORA MARKET CO,OH,310000001,4200,4A
2025-01-01,Aurora Market Health Plan,Aurora Market Company,OH,31-0000001,5100,"4A 4B"
2025-01-01,Pine Retirement Plan,Pine Retirement Inc,PA,310000002,2000,2J
2025-01-01,Bad EIN Health Plan,Bad EIN Health LLC,OH,12-ABC,150,4A
2025-01-01,Blue River Health Plan,"Blue River, Health LLC",NY,310000003,900,4A
2025-01-01,North Star Welfare Plan,North Star Holdings LLC,TX,310000004,300,4A
2025-01-01,Sunrise Health Plan,Sunrise PC,CA,310000007,110,4A
2025-01-01,Cedar Dental Health Plan,Cedar Dental PA,WA,310000008,75,4A
2025-01-01,Harbor Vision Plan,Harbor Vision Group LLC,OR,310000009,60,4B
2025-01-01,Maple Health Plan,Maple Cooperative,MI,310000010,185,"1A 4A"
