SF_PLAN_YEAR_BEGIN_DATE,SF_PLAN_NAME,SF_SPONSOR_NAME,SF_SPONS_US_STATE,SF_SPONS_EIN,SF_TOT_ACT_PARTCP_BOY_CNT,SF_TYPE_WELFARE_BNFT_CODE
2025-01-01,Blue River SF Health Plan,Blue River Health LLC,MI,310000003,1200,4A
2025-01-01,Evergreen Health Plan,THE EVERGREEN GROUP LLC,CO,310000005,80,4A
2025-01-01,Oak Pine Health Plan,"Oak & Pine, Inc.",IL,310000006,210,4A
2025-01-01,Admin Only Plan,Admin Only Services Inc,IN,310000011,140,2J
2025-01-01,Bad SF EIN Plan,Bad SF EIN Corp,GA,31000BAD,95,4A
2025-01-01,Lakeview Design Health Plan,Lakeview Design PLLC,AZ,310000012,45,4A
2025-01-01,Acorn Health Plan,Acorn Company LLC,NM,310000013,33,4A
2025-01-01,Aurora Small Health Plan,Aurora Market LLC,OH,310000001,4500,4A
2025-01-01,Riverbend Dental Plan,"Riverbend, Dental Co.",KY,310000014,66,4A
2025-01-01,Trailhead Pension Plan,Trailhead Pension LLC,UT,310000015,99,3D
