FORMULARY_ID|FORMULARY_VERSION|CONTRACT_YEAR|RXCUI|NDC|TIER_LEVEL_VALUE|QUANTITY_LIMIT_YN|QUANTITY_LIMIT_AMOUNT|QUANTITY_LIMIT_DAYS|PRIOR_AUTHORIZATION_YN|STEP_THERAPY_YN
F100|1|2026|1593856|00011122233|3|Y|60|30|Y|N
F100|1|2026|617310|00033344455|1|N|||N|N
F100|1|2026|999001|00099900100|2|||||Y
F101|2|2026|123456|00012345600|4|Y|90|90|N|Y
F101|2|2026|234567|00023456700|5|N|||Y|Y
F102|1|2026|345678|00034567800|6|X|||N|N
F102|1|2026|456789|00045678900|2|Y|30|15||N
F103|3|2026|567890|00056789000|3|N|||N|
F101|2|2026|234567|00023456799|3|Y|10|10|N|N
F104|1|2027|678901|00067890100|1|Y|15|30|Y|Y
