CONTRACT_ID|PLAN_ID|SEGMENT_ID|PLAN_NAME|FORMULARY_ID|PREMIUM|DEDUCTIBLE|STATE|COUNTY_CODE|REGION
S1234|001|0|Lake Health Saver|F100|12.30|0|OH|39035|
S1234|002|0|Lake Health Plus|F101|38.00|120|OH|39035|
S1234|003|0|Lake Health Flex|F102|21.00|250||39035|Region 7
H2222|001|0|Capital Basic|F100|0|545|DC||Region 1
H2222|002|0|Capital Choice|F103|18.50|100|DC||Region 1
S9999|010|1|Plains Standard|F104|25.75|50|KS|20091|
S9999|011|1|Plains Select|F101|33.25|0|KS|20091|
S7777|100|0|River Value|F102|5.00|545|KY|21111|
S7777|101|0|River Secure|F103|15.00|250||21111|Region 4
S8888|050|0|North Star Rx|F104|42.42|0|MN|27053|
